iter	RMSE
0	0.4590334308
1	0.4359175125
2	0.4126253901
3	0.3895909025
4	0.3679361875
5	0.3463967341
6	0.3306809558
7	0.3136727788
8	0.296618618
9	0.2805975788
10	0.2674947906
11	0.256354559
12	0.2438968217
13	0.2338811476
14	0.2260216858
15	0.2180761363
16	0.2098191446
17	0.2014743998
18	0.1928576086
19	0.1865418352
20	0.1805122693
21	0.1749263309
22	0.1691200738
23	0.1635727048
24	0.1603278669
25	0.1555631909
26	0.1505076356
27	0.147132722
28	0.1442826656
29	0.1421920005
30	0.1366991269
31	0.1322807465
32	0.128941697
33	0.1248858798
34	0.1223853441
35	0.1207825645
36	0.1179872953
37	0.1157363606
38	0.1131409938
39	0.1111574928
40	0.1078335656
41	0.1063332951
42	0.1035687364
43	0.101998117
44	0.1004691396
45	0.09846639291
46	0.09622653324
47	0.09509685134
48	0.09381194284
49	0.09198158411
50	0.09080666295
51	0.08855772835
52	0.08725465341
53	0.08556992201
54	0.08484246135
55	0.08310696079
56	0.08244643565
57	0.08120615254
58	0.08031539074
59	0.07968786152
60	0.07775418684
61	0.07706163397
62	0.07643060153
63	0.07448207193
64	0.07398290908
65	0.07351392707
66	0.07200511987
67	0.07109558287
68	0.07066503378
69	0.0702476595
70	0.06980231647
71	0.06940498165
72	0.06766385058
73	0.06735270259
74	0.06675542112
75	0.06485300043
76	0.06447331083
77	0.06420941413
78	0.06388961001
79	0.06361175758
80	0.06184805135
81	0.06161112872
82	0.06015747291
83	0.05991633214
84	0.05844789251
85	0.05820091731
86	0.05769485869
87	0.05751060394
88	0.0560984189
89	0.05481375284
90	0.05460940699
91	0.05327455148
92	0.05214890607
93	0.05091305205
94	0.04958050178
95	0.0494301101
96	0.04844778854
97	0.04717003298
98	0.0470291963
99	0.04688253906
100	0.04578596207
101	0.04565398724
102	0.04483475547
103	0.04464055165
104	0.0433884109
105	0.04325580435
106	0.04220628395
107	0.04152419532
108	0.04139478123
109	0.04053734685
110	0.04041424282
111	0.04031740357
112	0.03949723601
113	0.03938711805
114	0.03928150552
115	0.03853905375
116	0.03806871084
117	0.03769488463
118	0.03683321583
119	0.03659070891
120	0.03653260306
121	0.03561667893
122	0.03520308356
123	0.03509784111
124	0.03493114451
125	0.03470640412
126	0.03385276346
127	0.03327195561
128	0.03255175028
129	0.03235501151
130	0.03171376271
131	0.03106796286
132	0.03054355494
133	0.03014006399
134	0.02958872387
135	0.02926989862
136	0.02887862688
137	0.02842859275
138	0.0278729184
139	0.02748605979
140	0.02696879434
